topic_problem_number,topic,title,difficulty,leetcode_url,gfg_url,solved
19,"Arrays","Merge Intervals","Medium","https://leetcode.com/problems/merge-intervals/","https://www.geeksforgeeks.org/problems/overlapping-intervals/1",false
20,"Arrays","3Sum","Medium","https://leetcode.com/problems/3sum/","https://www.geeksforgeeks.org/problems/three-sum-1587115621/1",false
21,"Arrays","4Sum","Medium","https://leetcode.com/problems/4sum/","https://www.geeksforgeeks.org/problems/find-all-four-sum-numbers1732/1",false
22,"Arrays","Trapping Rain Water","Hard","https://leetcode.com/problems/trapping-rain-water/","https://www.geeksforgeeks.org/problems/trapping-rain-water-1587115621/1",false
1,"Strings","Valid Anagram","Easy","https://leetcode.com/problems/valid-anagram/","https://www.geeksforgeeks.org/problems/anagram-1587115620/1",false
2,"Strings","Valid Palindrome","Easy","https://leetcode.com/problems/valid-palindrome/","https://www.geeksforgeeks.org/problems/string-palindromic-ignoring-spaces4723/1",false
3,"Strings","Reverse String","Easy","https://leetcode.com/problems/reverse-string/","https://www.geeksforgeeks.org/problems/reverse-string/1",false
4,"Strings","Reverse Words in a String","Medium","https://leetcode.com/problems/reverse-words-in-a-string/","https://www.geeksforgeeks.org/problems/reverse-words-in-a-given-string5459/1",false
5,"Strings","Longest Common Prefix","Easy","https://leetcode.com/problems/longest-common-prefix/","https://www.geeksforgeeks.org/problems/longest-common-prefix-in-an-array5129/1",false
6,"Strings","First Unique Character in a String","Easy","https://leetcode.com/problems/first-unique-character-in-a-string/","https://www.geeksforgeeks.org/problems/non-repeating-character-1587115620/1",false
7,"Strings","Is Subsequence","Easy","https://leetcode.com/problems/is-subsequence/","https://www.geeksforgeeks.org/problems/is-subsequence-1587115620/1",false
8,"Strings","Longest Substring Without Repeating Characters","Medium","https://leetcode.com/problems/longest-substring-without-repeating-characters/","https://www.geeksforgeeks.org/dsa/length-of-the-longest-substring-without-repeating-characters/",false
9,"Strings","Group Anagrams","Medium","https://leetcode.com/problems/group-anagrams/","https://www.geeksforgeeks.org/problems/print-anagrams-together/1",false
10,"Strings","Longest Palindromic Substring","Medium","https://leetcode.com/problems/longest-palindromic-substring/","https://www.geeksforgeeks.org/problems/longest-palindrome-in-a-string1956/1",false
11,"Strings","Palindromic Substrings","Medium","https://leetcode.com/problems/palindromic-substrings/","https://www.geeksforgeeks.org/dsa/count-palindrome-sub-strings-string/",false
12,"Strings","String Compression","Medium","https://leetcode.com/problems/string-compression/","https://www.geeksforgeeks.org/dsa/string-compression/",false
13,"Strings","Minimum Window Substring","Hard","https://leetcode.com/problems/minimum-window-substring/","https://www.geeksforgeeks.org/problems/smallest-window-containing-all-characters-of-another-string/1",false
1,"Two Pointers","Two Sum II - Input Array Is Sorted","Medium","https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/","https://www.geeksforgeeks.org/dsa/pair-with-given-sum-in-sorted-array-two-sum-ii/",false
2,"Two Pointers","Valid Palindrome","Easy","https://leetcode.com/problems/valid-palindrome/","https://www.geeksforgeeks.org/problems/string-palindromic-ignoring-spaces4723/1",false
3,"Two Pointers","Remove Duplicates from Sorted Array","Easy","https://leetcode.com/problems/remove-duplicates-from-sorted-array/","https://www.geeksforgeeks.org/problems/remove-duplicate-elements-from-sorted-array/0",false
4,"Two Pointers","Move Zeroes","Easy","https://leetcode.com/problems/move-zeroes/","https://www.geeksforgeeks.org/problems/move-all-zeroes-to-end-of-array0751/1",false
5,"Two Pointers","Container With Most Water","Medium","https://leetcode.com/problems/container-with-most-water/","https://www.geeksforgeeks.org/problems/container-with-most-water0535/1",false
6,"Two Pointers","3Sum","Medium","https://leetcode.com/problems/3sum/","https://www.geeksforgeeks.org/problems/three-sum-1587115621/1",false
7,"Two Pointers","4Sum","Medium","https://leetcode.com/problems/4sum/","https://www.geeksforgeeks.org/problems/find-all-four-sum-numbers1732/1",false
8,"Two Pointers","Trapping Rain Water","Hard","https://leetcode.com/problems/trapping-rain-water/","https://www.geeksforgeeks.org/problems/trapping-rain-water-1587115621/1",false
9,"Two Pointers","Sort Colors","Medium","https://leetcode.com/problems/sort-colors/","https://www.geeksforgeeks.org/problems/sort-an-array-of-0s-1s-and-2s4231/1",false
10,"Two Pointers","Remove Element","Easy","https://leetcode.com/problems/remove-element/","https://www.geeksforgeeks.org/dsa/remove-element/",false
11,"Two Pointers","Boats to Save People","Medium","https://leetcode.com/problems/boats-to-save-people/","https://www.geeksforgeeks.org/problems/minimum-boats-to-save-people/1",false
1,"Sliding Window","Maximum Average Subarray I","Easy","https://leetcode.com/problems/maximum-average-subarray-i/","https://www.geeksforgeeks.org/dsa/maximum-average-subarray-of-size-k/",false
2,"Sliding Window","Minimum Size Subarray Sum","Medium","https://leetcode.com/problems/minimum-size-subarray-sum/","https://www.geeksforgeeks.org/problems/smallest-subarray-with-sum-greater-than-x5651/1",false
3,"Sliding Window","Longest Substring Without Repeating Characters","Medium","https://leetcode.com/problems/longest-substring-without-repeating-characters/","https://www.geeksforgeeks.org/dsa/length-of-the-longest-substring-without-repeating-characters/",false
4,"Sliding Window","Longest Repeating Character Replacement","Medium","https://leetcode.com/problems/longest-repeating-character-replacement/","https://www.geeksforgeeks.org/dsa/longest-substring-with-same-characters-after-replacement/",false
5,"Sliding Window","Permutation in String","Medium","https://leetcode.com/problems/permutation-in-string/","https://www.geeksforgeeks.org/dsa/check-if-permutation-substring-of-another-string/",false
6,"Sliding Window","Find All Anagrams in a String","Medium","https://leetcode.com/problems/find-all-anagrams-in-a-string/","https://www.geeksforgeeks.org/problems/count-occurences-of-anagrams5839/1",false
7,"Sliding Window","Minimum Window Substring","Hard","https://leetcode.com/problems/minimum-window-substring/","https://www.geeksforgeeks.org/problems/smallest-window-containing-all-characters-of-another-string/1",false
8,"Sliding Window","Max Consecutive Ones III","Medium","https://leetcode.com/problems/max-consecutive-ones-iii/","https://www.geeksforgeeks.org/dsa/maximize-number-of-1s-in-binary-array-by-changing-at-most-k-0s/",false
9,"Sliding Window","Fruit Into Baskets","Medium","https://leetcode.com/problems/fruit-into-baskets/","https://www.geeksforgeeks.org/dsa/maximum-length-subarray-with-at-most-two-distinct-elements/",false
10,"Sliding Window","Sliding Window Maximum","Hard","https://leetcode.com/problems/sliding-window-maximum/","https://www.geeksforgeeks.org/problems/maximum-of-all-subarrays-of-size-k3101/1",false
1,"Hashing","Two Sum","Easy","https://leetcode.com/problems/two-sum/","https://www.geeksforgeeks.org/problems/key-pair5616/0",false
2,"Hashing","Contains Duplicate","Easy","https://leetcode.com/problems/contains-duplicate/","https://www.geeksforgeeks.org/problems/check-if-array-contains-duplicates/0",false
3,"Hashing","Valid Anagram","Easy","https://leetcode.com/problems/valid-anagram/","https://www.geeksforgeeks.org/problems/anagram-1587115620/1",false
4,"Hashing","Group Anagrams","Medium","https://leetcode.com/problems/group-anagrams/","https://www.geeksforgeeks.org/problems/print-anagrams-together/1",false
5,"Hashing","Majority Element","Easy","https://leetcode.com/problems/majority-element/","https://www.geeksforgeeks.org/problems/majority-element-1587115620/1",false
6,"Hashing","Happy Number","Easy","https://leetcode.com/problems/happy-number/","https://www.geeksforgeeks.org/dsa/happy-number/",false
7,"Hashing","Longest Consecutive Sequence","Medium","https://leetcode.com/problems/longest-consecutive-sequence/","https://www.geeksforgeeks.org/problems/longest-consecutive-subsequence2449/1",false
8,"Hashing","Subarray Sum Equals K","Medium","https://leetcode.com/problems/subarray-sum-equals-k/","https://www.geeksforgeeks.org/problems/subarrays-with-sum-k/1",false
9,"Hashing","Top K Frequent Elements","Medium","https://leetcode.com/problems/top-k-frequent-elements/","https://www.geeksforgeeks.org/problems/top-k-frequent-elements-in-array/1",false
10,"Hashing","4Sum II","Medium","https://leetcode.com/problems/4sum-ii/","https://www.geeksforgeeks.org/dsa/4sum-count/",false
1,"Linked List","Reverse Linked List","Easy","https://leetcode.com/problems/reverse-linked-list/","https://www.geeksforgeeks.org/problems/reverse-a-linked-list/1",false
2,"Linked List","Merge Two Sorted Lists","Easy","https://leetcode.com/problems/merge-two-sorted-lists/","https://www.geeksforgeeks.org/problems/merge-two-sorted-linked-lists/0",false
3,"Linked List","Linked List Cycle","Easy","https://leetcode.com/problems/linked-list-cycle/","https://www.geeksforgeeks.org/problems/detect-loop-in-linked-list/1",false
4,"Linked List","Linked List Cycle II","Medium","https://leetcode.com/problems/linked-list-cycle-ii/","https://www.geeksforgeeks.org/problems/detect-loop-in-linked-list/1",false
5,"Linked List","Middle of the Linked List","Easy","https://leetcode.com/problems/middle-of-the-linked-list/","https://www.geeksforgeeks.org/problems/finding-middle-element-in-a-linked-list/1",false
6,"Linked List","Remove Nth Node From End of List","Medium","https://leetcode.com/problems/remove-nth-node-from-end-of-list/","https://www.geeksforgeeks.org/problems/nth-node-from-end-of-linked-list/1",false
7,"Linked List","Palindrome Linked List","Easy","https://leetcode.com/problems/palindrome-linked-list/","https://www.geeksforgeeks.org/problems/check-if-linked-list-is-pallindrome/1",false
8,"Linked List","Intersection of Two Linked Lists","Easy","https://leetcode.com/problems/intersection-of-two-linked-lists/","https://www.geeksforgeeks.org/problems/intersection-of-two-sorted-linked-lists/1",false
9,"Linked List","Add Two Numbers","Medium","https://leetcode.com/problems/add-two-numbers/","https://www.geeksforgeeks.org/problems/add-two-numbers-represented-by-linked-lists/1",false
10,"Linked List","Reorder List","Medium","https://leetcode.com/problems/reorder-list/","https://www.geeksforgeeks.org/problems/reorder-list/1",false
11,"Linked List","Copy List With Random Pointer","Medium","https://leetcode.com/problems/copy-list-with-random-pointer/","https://www.geeksforgeeks.org/problems/clone-a-linked-list-with-next-and-random-pointer/1",false
12,"Linked List","Merge K Sorted Lists","Hard","https://leetcode.com/problems/merge-k-sorted-lists/","https://www.geeksforgeeks.org/problems/merge-k-sorted-linked-lists/1",false
13,"Linked List","Reverse Nodes in K-Group","Hard","https://leetcode.com/problems/reverse-nodes-in-k-group/","https://www.geeksforgeeks.org/problems/reverse-a-linked-list-in-groups-of-given-size/1",false
1,"Stack","Valid Parentheses","Easy","https://leetcode.com/problems/valid-parentheses/","https://www.geeksforgeeks.org/problems/parenthesis-checker2744/1",false
2,"Stack","Min Stack","Medium","https://leetcode.com/problems/min-stack/","https://www.geeksforgeeks.org/problems/get-minimum-element-from-stack/1",false
3,"Stack","Implement Stack Using Queues","Easy","https://leetcode.com/problems/implement-stack-using-queues/","https://www.geeksforgeeks.org/problems/stack-using-two-queues/1",false
4,"Stack","Evaluate Reverse Polish Notation","Medium","https://leetcode.com/problems/evaluate-reverse-polish-notation/","https://www.geeksforgeeks.org/dsa/evaluation-of-postfix-expression/",false
5,"Stack","Daily Temperatures","Medium","https://leetcode.com/problems/daily-temperatures/","https://www.geeksforgeeks.org/problems/stock-span-problem-1587115621/1",false
6,"Stack","Next Greater Element I","Easy","https://leetcode.com/problems/next-greater-element-i/","https://www.geeksforgeeks.org/problems/next-larger-element-1587115620/0",false
7,"Stack","Next Greater Element II","Medium","https://leetcode.com/problems/next-greater-element-ii/","https://www.geeksforgeeks.org/dsa/next-greater-element-circular-array/",false
8,"Stack","Remove K Digits","Medium","https://leetcode.com/problems/remove-k-digits/","https://www.geeksforgeeks.org/dsa/remove-k-digits-to-make-smallest-number/",false
9,"Stack","Largest Rectangle in Histogram","Hard","https://leetcode.com/problems/largest-rectangle-in-histogram/","https://www.geeksforgeeks.org/problems/max-rectangle/1",false
10,"Stack","Decode String","Medium","https://leetcode.com/problems/decode-string/","https://www.geeksforgeeks.org/dsa/decode-string-recursively-encoded-count-followed-substring/",false
1,"Binary Search","Binary Search","Easy","https://leetcode.com/problems/binary-search/","https://www.geeksforgeeks.org/problems/binary-search-1587115620/0",false
2,"Binary Search","Search Insert Position","Easy","https://leetcode.com/problems/search-insert-position/","https://www.geeksforgeeks.org/dsa/search-insert-position-of-k-in-a-sorted-array/",false
3,"Binary Search","Find First and Last Position of Element in Sorted Array","Medium","https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/","https://www.geeksforgeeks.org/problems/first-and-last-occurrences-of-x3116/1",false
4,"Binary Search","Search in Rotated Sorted Array","Medium","https://leetcode.com/problems/search-in-rotated-sorted-array/","https://www.geeksforgeeks.org/problems/search-in-a-rotated-array4618/1",false
5,"Binary Search","Find Minimum in Rotated Sorted Array","Medium","https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/","https://www.geeksforgeeks.org/problems/minimum-number-in-a-sorted-rotated-array-1587115620/1",false
6,"Binary Search","Search a 2D Matrix","Medium","https://leetcode.com/problems/search-a-2d-matrix/","https://www.geeksforgeeks.org/problems/search-in-a-matrix-1587115621/1",false
7,"Binary Search","Find Peak Element","Medium","https://leetcode.com/problems/find-peak-element/","https://www.geeksforgeeks.org/problems/peak-element/1",false
8,"Binary Search","Sqrt(x)","Easy","https://leetcode.com/problems/sqrtx/","https://www.geeksforgeeks.org/problems/square-root/1",false
9,"Binary Search","Koko Eating Bananas","Medium","https://leetcode.com/problems/koko-eating-bananas/","https://www.geeksforgeeks.org/problems/koko-eating-bananas/1",false
10,"Binary Search","Capacity to Ship Packages Within D Days","Medium","https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/","https://www.geeksforgeeks.org/dsa/capacity-to-ship-packages-within-d-days/",false
11,"Binary Search","Split Array Largest Sum","Hard","https://leetcode.com/problems/split-array-largest-sum/","https://www.geeksforgeeks.org/dsa/split-array-largest-sum/",false
1,"Recursion & Backtracking","Subsets","Medium","https://leetcode.com/problems/subsets/","https://www.geeksforgeeks.org/problems/power-set4302/1",false
2,"Recursion & Backtracking","Subsets II","Medium","https://leetcode.com/problems/subsets-ii/","https://www.geeksforgeeks.org/dsa/subsets-with-duplicates/",false
3,"Recursion & Backtracking","Permutations","Medium","https://leetcode.com/problems/permutations/","https://www.geeksforgeeks.org/problems/permutations-of-a-given-string2041/1",false
4,"Recursion & Backtracking","Permutations II","Medium","https://leetcode.com/problems/permutations-ii/","https://www.geeksforgeeks.org/dsa/permutations-of-a-string/",false
5,"Recursion & Backtracking","Combination Sum","Medium","https://leetcode.com/problems/combination-sum/","https://www.geeksforgeeks.org/problems/combination-sum-1587115620/1",false
6,"Recursion & Backtracking","Combination Sum II","Medium","https://leetcode.com/problems/combination-sum-ii/","https://www.geeksforgeeks.org/dsa/combination-sum-ii/",false
7,"Recursion & Backtracking","Letter Combinations of a Phone Number","Medium","https://leetcode.com/problems/letter-combinations-of-a-phone-number/","https://www.geeksforgeeks.org/problems/possible-words-from-phone-digits-1587115620/1",false
8,"Recursion & Backtracking","Generate Parentheses","Medium","https://leetcode.com/problems/generate-parentheses/","https://www.geeksforgeeks.org/problems/generate-all-possible-parentheses/1",false
9,"Recursion & Backtracking","Palindrome Partitioning","Medium","https://leetcode.com/problems/palindrome-partitioning/","https://www.geeksforgeeks.org/problems/find-all-possible-palindromic-partitions-of-a-string/1",false
10,"Recursion & Backtracking","N-Queens","Hard","https://leetcode.com/problems/n-queens/","https://www.geeksforgeeks.org/problems/n-queen-problem0315/1",false
11,"Recursion & Backtracking","Sudoku Solver","Hard","https://leetcode.com/problems/sudoku-solver/","https://www.geeksforgeeks.org/problems/solve-the-sudoku-1587115621/1",false
12,"Recursion & Backtracking","Word Search","Medium","https://leetcode.com/problems/word-search/","https://www.geeksforgeeks.org/problems/word-search/1",false
1,"Trees","Maximum Depth of Binary Tree","Easy","https://leetcode.com/problems/maximum-depth-of-binary-tree/","https://www.geeksforgeeks.org/problems/maximum-depth-of-binary-tree/0",false
2,"Trees","Same Tree","Easy","https://leetcode.com/problems/same-tree/","https://www.geeksforgeeks.org/dsa/check-if-two-trees-are-identical/",false
3,"Trees","Invert Binary Tree","Easy","https://leetcode.com/problems/invert-binary-tree/","https://www.geeksforgeeks.org/problems/mirror-tree/1",false
4,"Trees","Symmetric Tree","Easy","https://leetcode.com/problems/symmetric-tree/","https://www.geeksforgeeks.org/problems/symmetric-tree/1",false
5,"Trees","Binary Tree Level Order Traversal","Medium","https://leetcode.com/problems/binary-tree-level-order-traversal/","https://www.geeksforgeeks.org/problems/level-order-traversal/1",false
6,"Trees","Binary Tree Preorder Traversal","Easy","https://leetcode.com/problems/binary-tree-preorder-traversal/","https://www.geeksforgeeks.org/problems/preorder-traversal/1",false
7,"Trees","Binary Tree Inorder Traversal","Easy","https://leetcode.com/problems/binary-tree-inorder-traversal/","https://www.geeksforgeeks.org/problems/inorder-traversal/1",false
8,"Trees","Binary Tree Postorder Traversal","Easy","https://leetcode.com/problems/binary-tree-postorder-traversal/","https://www.geeksforgeeks.org/problems/postorder-traversal/1",false
9,"Trees","Diameter of Binary Tree","Easy","https://leetcode.com/problems/diameter-of-binary-tree/","https://www.geeksforgeeks.org/problems/diameter-of-binary-tree/1",false
10,"Trees","Balanced Binary Tree","Easy","https://leetcode.com/problems/balanced-binary-tree/","https://www.geeksforgeeks.org/problems/check-for-balanced-tree/1",false
11,"Trees","Lowest Common Ancestor of a Binary Tree","Medium","https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/","https://www.geeksforgeeks.org/problems/lowest-common-ancestor-in-a-binary-tree/1",false
12,"Trees","Path Sum","Easy","https://leetcode.com/problems/path-sum/","https://www.geeksforgeeks.org/problems/root-to-leaf-path-sum/1",false
13,"Trees","Binary Tree Right Side View","Medium","https://leetcode.com/problems/binary-tree-right-side-view/","https://www.geeksforgeeks.org/problems/right-view-of-binary-tree/1",false
14,"Trees","Binary Tree Zigzag Level Order Traversal","Medium","https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/","https://www.geeksforgeeks.org/problems/zigzag-tree-traversal/1",false
15,"Trees","Serialize and Deserialize Binary Tree","Hard","https://leetcode.com/problems/serialize-and-deserialize-binary-tree/","https://www.geeksforgeeks.org/problems/serialize-and-deserialize-a-binary-tree/1",false
1,"Heap / Priority Queue","Kth Largest Element in an Array","Medium","https://leetcode.com/problems/kth-largest-element-in-an-array/","https://www.geeksforgeeks.org/problems/kth-largest-element-in-an-array/1",false
2,"Heap / Priority Queue","Kth Smallest Element in a Sorted Matrix","Medium","https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/","https://www.geeksforgeeks.org/problems/kth-smallest-element-in-a-row-wise-and-column-wise-sorted-matrix/1",false
3,"Heap / Priority Queue","Top K Frequent Elements","Medium","https://leetcode.com/problems/top-k-frequent-elements/","https://www.geeksforgeeks.org/problems/top-k-frequent-elements-in-array/1",false
4,"Heap / Priority Queue","Last Stone Weight","Easy","https://leetcode.com/problems/last-stone-weight/","https://www.geeksforgeeks.org/dsa/last-stone-weight/",false
5,"Heap / Priority Queue","K Closest Points to Origin","Medium","https://leetcode.com/problems/k-closest-points-to-origin/","https://www.geeksforgeeks.org/problems/k-closest-points-to-origin/1",false
6,"Heap / Priority Queue","Merge K Sorted Lists","Hard","https://leetcode.com/problems/merge-k-sorted-lists/","https://www.geeksforgeeks.org/problems/merge-k-sorted-linked-lists/1",false
7,"Heap / Priority Queue","Find Median from Data Stream","Hard","https://leetcode.com/problems/find-median-from-data-stream/","https://www.geeksforgeeks.org/problems/find-median-in-a-stream-1587115620/1",false
8,"Heap / Priority Queue","Task Scheduler","Medium","https://leetcode.com/problems/task-scheduler/","https://www.geeksforgeeks.org/problems/task-scheduler/1",false
9,"Heap / Priority Queue","Meeting Rooms II","Medium","https://leetcode.com/problems/meeting-rooms-ii/","https://www.geeksforgeeks.org/dsa/minimum-number-platforms-required-railwaybus-station/",false
1,"Greedy","Assign Cookies","Easy","https://leetcode.com/problems/assign-cookies/","https://www.geeksforgeeks.org/dsa/assign-mice-to-holes/",false
2,"Greedy","Jump Game","Medium","https://leetcode.com/problems/jump-game/","https://www.geeksforgeeks.org/problems/jump-game/1",false
3,"Greedy","Jump Game II","Medium","https://leetcode.com/problems/jump-game-ii/","https://www.geeksforgeeks.org/problems/minimum-number-of-jumps-1587115620/1",false
4,"Greedy","Gas Station","Medium","https://leetcode.com/problems/gas-station/","https://www.geeksforgeeks.org/problems/circular-tour-1587115620/1",false
5,"Greedy","Candy","Hard","https://leetcode.com/problems/candy/","https://www.geeksforgeeks.org/dsa/candy-distribution/",false
6,"Greedy","Partition Labels","Medium","https://leetcode.com/problems/partition-labels/","https://www.geeksforgeeks.org/dsa/partition-a-string-such-that-the-parts-have-at-least-one-character/",false
7,"Greedy","Non-overlapping Intervals","Medium","https://leetcode.com/problems/non-overlapping-intervals/","https://www.geeksforgeeks.org/problems/non-overlapping-intervals/1",false
8,"Greedy","Minimum Number of Arrows to Burst Balloons","Medium","https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/","https://www.geeksforgeeks.org/dsa/minimum-number-of-arrows-to-burst-balloons/",false
9,"Greedy","Activity Selection","Medium","https://www.geeksforgeeks.org/problems/activity-selection-1587115620/1","https://www.geeksforgeeks.org/problems/activity-selection-1587115620/1",false
10,"Greedy","Fractional Knapsack","Medium","https://leetcode.com/problems/fractional-knapsack/","https://www.geeksforgeeks.org/problems/fractional-knapsack-1587115620/1",false
1,"Dynamic Programming","Climbing Stairs","Easy","https://leetcode.com/problems/climbing-stairs/","https://www.geeksforgeeks.org/problems/count-ways-to-reach-the-nth-stair-1587115620/1",false
2,"Dynamic Programming","Min Cost Climbing Stairs","Easy","https://leetcode.com/problems/min-cost-climbing-stairs/","https://www.geeksforgeeks.org/dsa/min-cost-climbing-stairs/",false
3,"Dynamic Programming","House Robber","Medium","https://leetcode.com/problems/house-robber/","https://www.geeksforgeeks.org/problems/stickler-theif-1587115621/1",false
4,"Dynamic Programming","House Robber II","Medium","https://leetcode.com/problems/house-robber-ii/","https://www.geeksforgeeks.org/dsa/maximum-sum-such-that-no-two-elements-are-adjacent/",false
5,"Dynamic Programming","Coin Change","Medium","https://leetcode.com/problems/coin-change/","https://www.geeksforgeeks.org/problems/number-of-coins1824/1",false
6,"Dynamic Programming","Coin Change II","Medium","https://leetcode.com/problems/coin-change-ii/","https://www.geeksforgeeks.org/problems/coin-change2448/1",false
7,"Dynamic Programming","Perfect Squares","Medium","https://leetcode.com/problems/perfect-squares/","https://www.geeksforgeeks.org/dsa/minimum-number-of-squares-whose-sum-equals-n/",false
8,"Dynamic Programming","Word Break","Medium","https://leetcode.com/problems/word-break/","https://www.geeksforgeeks.org/problems/word-break1352/1",false
9,"Dynamic Programming","Longest Increasing Subsequence","Medium","https://leetcode.com/problems/longest-increasing-subsequence/","https://www.geeksforgeeks.org/problems/longest-increasing-subsequence-1587115620/1",false
10,"Dynamic Programming","Partition Equal Subset Sum","Medium","https://leetcode.com/problems/partition-equal-subset-sum/","https://www.geeksforgeeks.org/problems/subset-sum-problem-1611555638/1",false
11,"Dynamic Programming","Unique Paths","Medium","https://leetcode.com/problems/unique-paths/","https://www.geeksforgeeks.org/problems/number-of-paths-in-a-matrix-with-k-steps/1",false
12,"Dynamic Programming","Minimum Path Sum","Medium","https://leetcode.com/problems/minimum-path-sum/","https://www.geeksforgeeks.org/dsa/minimum-cost-path/",false
13,"Dynamic Programming","Longest Common Subsequence","Medium","https://leetcode.com/problems/longest-common-subsequence/","https://www.geeksforgeeks.org/problems/longest-common-subsequence-1587115620/1",false
14,"Dynamic Programming","Edit Distance","Hard","https://leetcode.com/problems/edit-distance/","https://www.geeksforgeeks.org/problems/edit-distance3702/1",false
15,"Dynamic Programming","0/1 Knapsack","Medium","https://leetcode.com/problems/partition-equal-subset-sum/","https://www.geeksforgeeks.org/problems/0-1-knapsack-problem0945/1",false
16,"Dynamic Programming","Target Sum","Medium","https://leetcode.com/problems/target-sum/","https://www.geeksforgeeks.org/dsa/target-sum/",false
1,"Graphs","Number of Islands","Medium","https://leetcode.com/problems/number-of-islands/","https://www.geeksforgeeks.org/problems/find-the-number-of-islands/1",false
2,"Graphs","Flood Fill","Easy","https://leetcode.com/problems/flood-fill/","https://www.geeksforgeeks.org/problems/flood-fill-algorithm1856/1",false
3,"Graphs","Clone Graph","Medium","https://leetcode.com/problems/clone-graph/","https://www.geeksforgeeks.org/problems/clone-graph/1",false
4,"Graphs","Course Schedule","Medium","https://leetcode.com/problems/course-schedule/","https://www.geeksforgeeks.org/problems/course-schedule/1",false
5,"Graphs","Course Schedule II","Medium","https://leetcode.com/problems/course-schedule-ii/","https://www.geeksforgeeks.org/problems/course-schedule/1",false
6,"Graphs","Rotting Oranges","Medium","https://leetcode.com/problems/rotting-oranges/","https://www.geeksforgeeks.org/problems/rotten-oranges2536/1",false
7,"Graphs","Number of Provinces","Medium","https://leetcode.com/problems/number-of-provinces/","https://www.geeksforgeeks.org/problems/number-of-provinces/1",false
8,"Graphs","Surrounded Regions","Medium","https://leetcode.com/problems/surrounded-regions/","https://www.geeksforgeeks.org/problems/replace-os-with-xs0052/1",false
9,"Graphs","Word Ladder","Hard","https://leetcode.com/problems/word-ladder/","https://www.geeksforgeeks.org/problems/word-ladder/1",false
